Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-11 15:31:29.795,0.639,TCP,11529_47,80,192.168.220.14,41413,4,6664,1,.AP...
2017-04-09 09:19:58.215,0.417,TCP,10074_40,443,192.168.200.8,53727,3,215,1,.AP..F
2017-04-05 10:44:33.229,0.0,TCP,14193_96,443,192.168.200.4,60112,1,66,1,.A....
2017-04-10 09:50:01.571,0.021,TCP,192.168.220.16,37818,10163_9,443,3,193,1,.AP..F
2017-04-11 17:14:48.095,0.0,TCP,192.168.220.14,54487,13192_26,443,1,66,1,.A....
2017-04-10 10:11:12.982,0.0,TCP,10990_22,443,192.168.220.12,44823,1,330,1,.AP...
2017-04-07 07:09:50.417,0.014,TCP,192.168.220.16,36228,10057_29,80,2,563,1,.AP...
2017-04-08 12:06:09.382,0.033,TCP,192.168.220.14,40459,10456_29,80,2,132,1,.A...F
2017-04-11 08:42:47.420,0.0,UDP,192.168.220.4,56047,DNS,53,1,85,1,......
2017-04-10 09:55:57.639,0.0,TCP,10163_16,80,192.168.220.16,37466,1,54,1,.A...F
2017-04-11 11:34:14.842,0.177,TCP,192.168.100.4,587,192.168.220.4,43221,5,547,1,.AP...
2017-04-11 06:53:18.946,0.0,TCP,192.168.210.5,51621,11632_165,443,1,55,1,.A....
2017-04-10 11:27:46.241,3.943,TCP,10193_2,443,192.168.220.8,43691,71,67631,1,.AP...
2017-04-05 18:34:57.754,0.026,TCP,10499_66,80,192.168.200.9,57712,3,1850,1,.AP.S.
2017-04-11 07:54:14.383,0.033,TCP,192.168.220.9,45077,10001_232,443,3,174,1,.A.R.F
2017-04-05 12:51:54.088,0.0,TCP,11316_21,443,192.168.220.15,36084,1,66,1,.A....
2017-04-09 16:00:15.580,0.0,UDP,192.168.200.8,54249,DNS,53,1,73,1,......
2017-04-10 07:06:54.330,0.0,UDP,DNS,53,192.168.220.10,59539,1,110,1,......
2017-04-07 17:12:26.008,0.0,TCP,192.168.220.14,45830,10078_100,80,1,66,1,.A....
2017-04-11 12:20:31.385,0.0,TCP,192.168.220.4,43141,10847_122,443,1,66,1,.A....
2017-04-10 13:55:56.036,0.036,TCP,192.168.220.9,47321,10296_238,443,2,132,1,.A...F
2017-04-10 17:28:13.919,0.0,TCP,192.168.100.5,445,192.168.220.15,56413,1,108,1,.AP...
2017-04-06 17:50:37.267,0.0,TCP,192.168.220.15,44445,10084_230,80,1,66,1,.A....
2017-04-06 10:14:24.206,1.286,TCP,11184_35,443,192.168.220.5,58527,6,587,1,.AP.SF
2017-04-11 06:30:44.971,0.0,TCP,192.168.210.5,49161,10789_31,443,1,55,1,.A....
2017-04-11 19:56:07.947,0.0,UDP,192.168.210.5,62077,DNS,53,1,76,1,......
2017-04-07 12:55:30.607,1.051,TCP,10784_4,443,192.168.220.16,37879,7,798,1,.AP.SF
2017-04-07 22:30:13.876,0.008,TCP,192.168.220.16,48958,192.168.100.5,445,2,174,1,.AP...
2017-04-11 15:55:45.269,0.672,TCP,192.168.210.5,49295,10095_80,443,8,1107,1,.AP.S.
2017-04-07 15:41:08.546,0.006,TCP,10004_7,443,192.168.220.8,56458,5,8075,1,.AP...
2017-04-05 07:44:57.489,0.031,UDP,DNS,53,192.168.220.6,35438,2,332,1,......
2017-04-07 14:45:17.990,0.0,TCP,192.168.220.11,46286,10296_238,80,1,66,1,.A....
2017-04-08 18:06:05.474,0.322,TCP,10296_232,443,192.168.220.14,53737,25,28919,1,.AP.S.
2017-04-08 11:13:26.011,0.0,TCP,192.168.220.14,56772,10085_31,80,1,66,1,.A...F
2017-04-06 17:39:14.213,0.0,UDP,DNS,53,192.168.220.9,48276,1,90,1,......
2017-04-06 11:19:58.235,0.0,TCP,10296_238,80,192.168.220.6,53763,1,66,1,.A....
2017-04-06 17:53:51.295,0.0,TCP,10071_22,80,192.168.220.7,51509,1,66,1,.A...F
2017-04-05 12:04:47.357,0.0,TCP,12935_230,80,192.168.220.13,36548,1,259,1,.AP...
2017-04-07 18:11:18.997,0.0,TCP,192.168.210.5,53026,10575_197,443,1,55,1,.A....
2017-04-11 12:58:25.611,0.0,TCP,10081_164,443,192.168.220.11,43159,1,66,1,.A....
2017-04-05 11:53:56.280,0.0,TCP,192.168.220.13,42418,10063_33,80,1,66,1,.A....
2017-04-07 12:04:13.376,0.0,TCP,10296_230,80,192.168.210.4,54394,1,66,1,.A....
2017-04-06 11:28:29.223,0.0,TCP,192.168.220.6,32785,10063_33,80,1,66,1,.A....
2017-04-07 12:06:20.031,0.0,UDP,192.168.200.8,52489,DNS,53,1,72,1,......
2017-04-08 17:09:37.571,1.137,TCP,192.168.220.7,33345,15282_53,443,3,526,1,.AP...
2017-04-11 10:57:01.944,0.0,TCP,10060_27,80,192.168.220.15,43300,1,66,1,.A....
2017-04-11 15:24:41.060,0.766,TCP,192.168.200.8,52349,10433_120,443,4,692,1,.APR..
2017-04-11 09:41:07.636,0.0,UDP,DNS,53,192.168.200.8,64400,1,252,1,......
2017-04-11 19:32:33.371,0.0,TCP,192.168.100.5,445,192.168.220.4,46009,1,70,1,.AP...
2017-04-08 16:36:15.974,0.0,TCP,10104_157,443,192.168.220.14,46731,1,535,1,.AP...
2017-04-10 15:43:29.477,0.0,TCP,192.168.220.14,35987,12219_168,443,1,66,1,.A....
